# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0)               |    __check_object_size() {
 0)   2.007 us    |      check_stack_object();
 0)   6.940 us    |    }
 0) + 24.927 us   |  }
 ------------------------------------------
 0)   migrati-11   =>   swapper-1   
 ------------------------------------------

 0)               |  tracepoint_probe_register() {
 0)               |    tracepoint_probe_register_prio() {
 0)   1.533 us    |      mutex_lock();
 0)               |      __kmalloc() {
 0)   1.440 us    |        kmalloc_slab();
 0)   1.217 us    |        should_failslab();
 0)   7.551 us    |      }
 0)   1.138 us    |      static_key_count();
 0)               |      static_key_slow_inc() {
 0)               |        cpus_read_lock() {
 0)   1.427 us    |          __percpu_down_read();
 0)   4.055 us    |        }
 0)               |        static_key_slow_inc_cpuslocked() {
 0)   1.230 us    |          lockdep_assert_cpus_held();
 0)   1.550 us    |          mutex_lock();
 0)               |          jump_label_update() {
 0)   1.668 us    |            __module_address();
 0)               |            __jump_label_update() {
 0)   1.783 us    |              kernel_text_address();
 0) ! 107.769 us  |              arch_jump_label_transform();
 0)   1.529 us    |              kernel_text_address();
 0) + 84.344 us   |              arch_jump_label_transform();
 0) ! 204.845 us  |            }
 0) ! 210.990 us  |          }
 0)   1.469 us    |          mutex_unlock();
 0) ! 221.940 us  |        }
 0)               |        cpus_read_unlock() {
 0)               |          __percpu_up_read() {
 0)   1.174 us    |            rcuwait_wake_up();
 0)   3.601 us    |          }
 0)   5.963 us    |        }
 0) ! 237.024 us  |      }
 0)   1.200 us    |      mutex_unlock();
 0) ! 259.691 us  |    }
 0) ! 265.445 us  |  }
 0)               |  tracepoint_probe_register() {
 0)               |    tracepoint_probe_register_prio() {
 0)   1.212 us    |      mutex_lock();
 0)               |      __kmalloc() {
 0)   1.169 us    |        kmalloc_slab();
 0)   1.170 us    |        should_failslab();
 0)   6.120 us    |      }
 0)   1.212 us    |      static_key_count();
 0)               |      static_key_slow_inc() {
 0)               |        cpus_read_lock() {
 0)   1.174 us    |          __percpu_down_read();
 0)   3.546 us    |        }
 0)               |        static_key_slow_inc_cpuslocked() {
 0)   1.150 us    |          lockdep_assert_cpus_held();
 0)   1.158 us    |          mutex_lock();
 0)               |          jump_label_update() {
 0)   1.313 us    |            __module_address();
 0)               |            __jump_label_update() {
 0)   1.177 us    |              kernel_text_address();
 0) + 79.368 us   |              arch_jump_label_transform();
 0) + 84.838 us   |            }
 0) + 89.662 us   |          }
 0)   1.465 us    |          mutex_unlock();
 0) + 99.305 us   |        }
 0)               |        cpus_read_unlock() {
 0)               |          __percpu_up_read() {
 0)   1.285 us    |            rcuwait_wake_up();
 0)   3.563 us    |          }
 0)   5.885 us    |        }
 0) ! 113.290 us  |      }
 0)   1.236 us    |      mutex_unlock();
 0) ! 130.060 us  |    }
 0) ! 132.817 us  |  }
 0)               |  tracepoint_probe_register() {
 0)               |    tracepoint_probe_register_prio() {
 0)   1.211 us    |      mutex_lock();
 0)               |      __kmalloc() {
 0)   1.182 us    |        kmalloc_slab();
 0)   1.230 us    |        should_failslab();
 0)   5.865 us    |      }
 0)   1.166 us    |      static_key_count();
 0)   1.193 us    |      mutex_unlock();
 0) + 16.283 us   |    }
 0) + 18.788 us   |  }
 0)               |  release_early_probes() {
 0)               |    call_rcu() {
 0)               |      __call_rcu() {
 0)   1.561 us    |        rcu_segcblist_enqueue();
 0)   6.317 us    |      }
 0)   9.768 us    |    }
 0) + 22.455 us   |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.870 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.680 us    |          _raw_spin_lock_irqsave();
 0)   2.326 us    |          rpm_resume();
 0)   1.202 us    |          _raw_spin_unlock_irqrestore();
 0) + 14.231 us   |        }
